0	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	3	3.1	3.2	3.3	3.4	3.5	3.6	3.7	3.8	3.9	4	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	4.9	5
3	-26952.04	-26726.3	-26428.98	-26210.26	-26035.26	-25947.3	-25901.73	-25208.58	-24701.39	-24274.72	-24089.33	-23504.14	-23339.01	-23229.73	-23130.68	-23026.28	-22940.04	-22670.32	-22541.77	-22427.7	-22312.53	-22266.79	-22202.32	-22147.88	-22093.31	-22046.12	-22005.65	-21968.6	-21938.25	-21903.12	-21878.55	-21862.81	-21847.57	-21838.91	-21829.55	-21816.72	-21801.98	-21792.32	-21783.6	-21774.46	-21773.09
3.2	-27006.78	-26905.7	-26667.65	-26403.06	-26185.1	-26032.21	-25887.19	-25878.1	-24990.06	-24746.17	-24322.14	-23704.9	-23538.75	-23403.79	-23302.47	-23184.23	-23095.17	-23010.88	-22931.57	-22656.57	-22565.04	-22451.25	-22368.64	-22280.32	-22208.95	-22147.06	-22101.18	-22048.24	-22022.24	-21979.53	-21944.99	-21918.43	-21894.08	-21880.86	-21853.09	-21843.22	-21833.93	-21816.59	-21803.02	-21782.76	-21773.48
3.4	-27086.59	-26976.89	-26839.08	-26638.03	-26392.12	-26202.86	-26050.61	-25896.17	-25243.64	-24973.69	-24804.31	-24421.16	-23805.49	-23616.23	-23491.12	-23365.21	-23255.39	-23193.35	-23103.78	-23046.06	-22953.59	-22709.17	-22603.22	-22517.29	-22411.93	-22332.44	-22249.2	-22172.39	-22101.5	-22055.76	-22026.2	-21995.64	-21961.31	-21927.04	-21910.57	-21889.3	-21878.49	-21867.62	-21851.67	-21834.62	-21815.44
3.6	-27178.97	-27045.67	-26928.64	-26832.79	-26626.36	-26394.98	-26203.04	-26054.94	-25674.51	-25214.52	-24935.17	-24821.64	-24487.32	-23862.52	-23706.19	-23526.77	-23425.96	-23341.08	-23238.32	-23174.22	-23082.51	-23035.45	-22797.49	-22720.36	-22615.21	-22538.41	-22464.52	-22384.54	-22315.36	-22248.94	-22148.33	-22075.58	-22024.99	-21992.18	-21964.19	-21939.38	-21907.68	-21896.78	-21882.56	-21866.84	-21856.73
3.8	-27275.42	-27090.16	-26994.8	-26883.99	-26784.51	-26594	-26373.53	-26205.82	-26064.87	-25704.7	-25245.66	-24902.31	-24809.73	-24084.23	-23925.44	-23759.8	-23574.99	-23474.74	-23385.34	-23295.32	-23224.3	-23150.41	-23072.96	-23016.83	-22778.41	-22688.92	-22627.57	-22555.33	-22465.26	-22397.1	-22334.27	-22269.28	-22211.32	-22136.29	-22075.12	-22019.76	-21978.76	-21945.14	-21908.72	-21896.79	-21883.67
4	-27374.72	-27189.13	-27055.07	-26923.3	-26852.2	-26754.71	-26543.52	-26365.24	-26202.64	-26082.1	-25727.27	-25099.11	-24957.61	-24806.54	-24116.37	-24000.7	-23836.64	-23669.74	-23513.16	-23433.41	-23354.33	-23258.21	-23200.8	-23150.54	-23071	-22836.76	-22744.47	-22690.74	-22623.57	-22558.98	-22467.31	-22408.36	-22343.42	-22298.25	-22217.72	-22168	-22092.54	-22035.24	-21997.55	-21959.64	-21920.98
4.2	-27498.61	-27314	-27106.78	-27022.66	-26878.23	-26812.83	-26733.95	-26557.51	-26339.54	-26189.45	-26084.19	-25815.95	-25179.92	-25020.45	-24865.73	-24144.52	-24001.94	-23911.65	-23760.26	-23624.5	-23500.91	-23414.21	-23323.41	-23246.92	-23194.97	-23120.62	-23046.28	-22827.6	-22748.61	-22683.92	-22631.96	-22552.09	-22466.32	-22412.3	-22354.22	-22298.54	-22258.96	-22212.75	-22133.78	-22046.3	-21999.23
4.4	-27604	-27403.27	-27240.15	-27065.24	-27003.57	-26852.12	-26732.8	-26698.87	-26570.11	-26360.97	-26200.1	-26061.03	-25901.15	-25297.02	-25123.78	-24960.97	-24496.7	-24142.63	-24004.63	-23819.53	-23737.92	-23595.74	-23508.2	-23417.63	-23330.66	-23267.12	-23184.83	-23115.84	-23030.25	-22961.34	-22767.27	-22681.81	-22609.52	-22540.6	-22478.41	-22414.22	-22362.27	-22307.38	-22259.58	-22211.16	-22156.11
4.6	-27721.69	-27521.27	-27355.66	-27176.68	-27033.13	-26955.57	-26833.21	-26717.73	-26631.78	-26545.32	-26352.31	-26223.97	-26104.02	-25992.95	-25436.18	-25274.01	-24809.88	-24629.64	-24501.47	-24362.48	-24012.23	-23833.03	-23711.08	-23619.46	-23528.73	-23442.06	-23355.89	-23271.95	-23186.88	-23101.35	-23033.4	-22964.01	-22743.35	-22706.98	-22620.43	-22549.59	-22484.54	-22424.96	-22371.27	-22310.58	-22257.28
4.8	-27852.79	-27620.18	-27450.77	-27275.3	-27125.61	-27004.89	-26938.5	-26814.75	-26685.2	-26573.28	-26514.58	-26349.71	-26225.6	-26079.36	-26003.51	-25630.63	-25446.28	-24975.79	-24806.62	-24660.41	-24528.05	-24366.88	-24053.12	-23920.66	-23809.7	-23747.22	-23674.8	-23544.86	-23445.49	-23345.69	-23239.77	-23154.19	-22915.87	-22831	-22738.47	-22676.59	-22615.87	-22552.49	-22480.49	-22416.93	-22366.14
5	-28023.71	-27785.82	-27569.21	-27378.05	-27214.58	-27071.47	-26970.54	-26912.58	-26793.99	-26680.34	-26570.38	-26447.99	-26374.88	-26234.39	-26123.52	-26016.79	-25938.83	-25706.17	-25253.21	-25079.52	-24967.81	-24818.52	-24619.24	-24460.84	-24122.01	-23994.19	-23895.83	-23788.96	-23685.17	-23615.41	-23535.64	-23466.6	-23413.32	-23323.1	-23066.06	-22957.11	-22826.15	-22683.13	-22617.11	-22561.15	-22494.72
5.2	-28024.92	-27923.18	-27699.98	-27492.18	-27333.38	-27173.08	-27030.26	-26945.18	-26883.33	-26789.69	-26690.93	-26577.83	-26447.66	-26364.88	-26266	-26163.88	-26064.12	-25960.65	-25874.85	-25475.47	-25394.1	-25236.51	-25125.69	-24997.41	-24799.48	-24619.73	-24288.43	-24196.46	-24091.24	-23992.5	-23850.5	-23751.92	-23611.58	-23495.53	-23417.71	-23307.68	-23208.24	-23048.07	-22911.85	-22775.9	-22666.12
5.4	-28024.92	-28010.79	-27843.22	-27623.93	-27460.31	-27284.91	-27112.79	-27004.98	-26929.41	-26822.26	-26775.11	-26682.88	-26583.5	-26452.95	-26354.91	-26275.58	-26192.15	-26110.2	-26019.51	-25707.53	-25587.5	-25456.65	-25344.85	-25245.47	-25112.22	-24976.4	-24850.54	-24526.88	-24435.9	-24349.08	-24253.47	-24128.52	-24002.49	-23873.99	-23749.8	-23629.44	-23526.61	-23451.41	-23330.12	-23195.29	-23032.92
5.6	-28024.92	-28024.92	-27957.88	-27760.15	-27578.39	-27422.33	-27240.02	-27096.78	-26992.3	-26901.27	-26790.38	-26750.67	-26694.49	-26601.35	-26474.61	-26367.53	-26273.45	-26209.99	-26128.5	-26057.68	-25796.12	-25675.7	-25561.26	-25442.63	-25337.65	-25237.89	-25097.38	-24976.78	-24654.43	-24551.28	-24440.58	-24356.48	-24272.69	-24175.82	-24043.28	-23918.42	-23800.9	-23702.55	-23604.33	-23502.72	-23405.32
5.8	-28024.92	-28024.92	-28024.92	-27903.83	-27713.01	-27540.15	-27361.4	-27191.79	-27058.93	-26973.5	-26869.5	-26774.89	-26711.56	-26686.03	-26618.29	-26501.04	-26413.39	-26318.96	-26219.48	-26120.51	-26048.99	-25954.43	-25844.26	-25717	-25609.69	-25457.27	-25341.28	-25243.56	-25123.86	-24789.43	-24666.44	-24573.8	-24491.67	-24401.63	-24306.12	-24220.37	-24112.03	-24021.78	-23912.29	-23805.74	-23707.62
6	-28024.92	-28024.92	-28024.92	-28013.99	-27852.3	-27690.86	-27502.06	-27332.67	-27173	-27046.17	-26951.52	-26859.71	-26765.35	-26702.24	-26648.65	-26600.3	-26540.75	-26469.26	-26368.69	-26281.52	-26189.83	-26089.51	-26008.73	-25929.47	-25855.18	-25800.46	-25728.6	-25643.09	-25535.87	-25384.85	-25174.43	-24869.25	-24718.66	-24591.39	-24506.53	-24427.09	-24311.49	-24222.22	-24150.38	-24088.81	-23995.91
6.2	-28024.92	-28024.92	-28024.92	-28024.92	-28007.92	-27817.62	-27662.22	-27460.64	-27306.86	-27156.78	-27030.33	-26945.28	-26847.4	-26749.63	-26692.59	-26645.66	-26576.98	-26499.26	-26477.81	-26431.02	-26343.32	-26233.24	-26169.51	-26061.38	-25972.94	-25898.09	-25823	-25769.28	-25702.89	-25621.64	-25543.81	-25473.71	-25272.86	-25110.99	-24997.63	-24821.41	-24664.59	-24502.5	-24350.05	-24237.14	-24167.23
6.4	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27989.49	-27820.63	-27630.42	-27428.48	-27246.3	-27128.37	-27020.95	-26916.62	-26825.2	-26743.27	-26686.32	-26636.29	-26570.72	-26502.33	-26452.53	-26412.47	-26383.68	-26327.15	-26247.06	-26141.86	-26033.83	-25949.73	-25871.67	-25783.9	-25724.29	-25641.82	-25564.46	-25399.86	-25355.24	-25226.63	-25146.8	-25078.6	-25016.13	-24908.37	-24780.29	-24589.18
6.6	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28007.9	-27833.54	-27639.73	-27434.32	-27233.47	-27134.84	-27014.65	-26907.06	-26809.47	-26736.89	-26680.06	-26630.01	-26570.72	-26495.89	-26464.94	-26427.94	-26365.86	-26310.34	-26296.3	-26270.32	-26193.8	-26065.98	-25959.43	-25863.85	-25769.65	-25673.2	-25593.88	-25431.63	-25364.5	-25271.03	-25186.71	-25116.46	-25064.37	-24983.37	-24912.74
6.8	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28016.65	-27872.05	-27645.75	-27440.56	-27227.15	-27137.97	-27011.69	-26906.99	-26803.16	-26724.18	-26673.84	-26623.66	-26573.84	-26505.23	-26455.74	-26430.93	-26381.31	-26331.84	-26282.71	-26236.9	-26225.11	-26197.78	-26147.9	-26068.68	-25886.34	-25779.51	-25659.84	-25575.4	-25387.85	-25306.97	-25213.52	-25144.83	-25085.05	-25044.86
7	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28019.36	-27929.36	-27728.51	-27453.87	-27268.44	-27150.67	-27030.55	-26897.65	-26803.17	-26724.51	-26673.84	-26614.36	-26570.69	-26505.24	-26468.06	-26431.11	-26387.67	-26331.89	-26279.75	-26245.97	-26227.88	-26181.9	-26167.08	-26136.26	-26078.66	-25994.03	-25867.43	-25713.33	-25567.16	-25373.33	-25265.84	-25167.02	-25100.43
7.2	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27976.72	-27846.68	-27594.06	-27348.22	-27175.88	-27046.39	-26923.05	-26809.59	-26724.49	-26661.59	-26620.52	-26570.52	-26514.6	-26468.04	-26424.71	-26394.07	-26331.88	-26279.75	-26246.07	-26221.75	-26173.15	-26136.91	-26134.9	-26097.33	-26043.83	-26000.95	-25910.19	-25773.99	-25561.15	-25391.61	-25253.26
7.4	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27951.75	-27683.71	-27476	-27277.93	-27135.36	-26983.36	-26844.14	-26749.64	-26680.56	-26620.52	-26573.48	-26520.6	-26471.29	-26443.49	-26403.21	-26344.26	-26285.71	-26261.36	-26218.92	-26170.09	-26139.88	-26103.77	-26064.48	-26031.24	-26022.64	-25966.89	-25879.97	-25715.2	-25615.33
7.6	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27929.6	-27658.41	-27421.81	-27227.36	-27059.06	-26930.04	-26809.97	-26712.4	-26648.99	-26589.34	-26523.91	-26483.58	-26446.54	-26415.63	-26362.59	-26301.06	-26270.63	-26228	-26176.31	-26139.94	-26103.77	-26067.57	-26022.22	-26016.48	-25966.08	-25905.31	-25780.73
7.8	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27926.13	-27657.49	-27437.61	-27259.7	-27066.18	-26910.74	-26781.56	-26683.84	-26608.29	-26545.39	-26492.91	-26465.22	-26427.9	-26368.86	-26328.91	-26285.76	-26246.48	-26185.5	-26149.04	-26118.84	-26067.5	-26022.22	-26015.52	-25950.25	-25897.48
8	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-28024.92	-27941.93	-27670.29	-27453.97	-27250.77	-27079.65	-26898.87	-26769.21	-26675.19	-26589.7	-26524.16	-26483.68	-26443.39	-26381.44	-26331.85	-26298.07	-26264.61	-26194.55	-26152.18	-26109.84	-26067.5	-26019.15	-26006.22	-25964.86
